total_cases,total_cases_per_million,gdp_per_capita,health_expenditure_5y_avg,Population density (people per sq. km of land area),lockdown_type,"International tourism, expenditures (% of total imports)",iso_code,location
29143.0,748.632,1803.987,10.235867053270347,56.937760009803,Full,2.8307157244166805,AFG,Afghanistan
183.0,5.568,5819.495,2.655480094254014,24.713052057431607,Full,2.94352197094216,AGO,Angola
45303.0,4580.502,67293.483,3.50889950990677,135.609110109828,Full,0.028524349241130724,ARE,United Arab Emirates
44918.0,993.8539999999999,18933.907,8.41735973954201,16.2585100979651,Full,15.093929189435999,ARG,Argentina
20588.0,6947.814,8787.58,10.186804085969909,103.68022479803301,Full,21.933781319288997,ARM,Armenia
26.0,265.501,21490.943,4.85242560505867,218.83181818181802,None,10.134036918054,ATG,Antigua and Barbuda
7474.0,293.099,44648.71,9.102673083543776,3.24787091037205,Full,13.6525023236232,AUS,Australia
17320.0,1923.0770000000002,45436.685999999994,10.367483645677561,107.127966860564,Full,6.0114230086145914,AUT,Austria
13207.0,1302.5710000000001,15847.419,6.110159382224082,120.234667956937,Full,13.8546875412132,AZE,Azerbaijan
60550.0,5224.504,42658.575999999994,10.34148216247558,377.58441215323603,Full,4.637166279472161,BEL,Belgium
807.0,66.567,2064.236,3.8236450403928735,101.853919829727,None,0.3581657545265938,BEN,Benin
907.0,43.39,1703.102,6.326977238059041,72.1912828947368,Full,0.34462980439490726,BFA,Burkina Faso
115786.0,703.057,3523.9840000000013,2.4097004160285005,1239.5793116693599,Full,1.84356842877916,BGD,Bangladesh
3984.0,573.366,18563.307,8.179084956645966,64.7110998526161,Full,5.41494713377715,BGR,Bulgaria
22407.0,13168.326000000001,43290.705,4.659791961312296,2017.27369979138,Full,14.7975308883519,BHR,Bahrain
104.0,264.464,27717.847,5.892165005207058,38.5254745254745,Full,10.4405650141285,BHS,Bahamas
3524.0,1074.123,11713.895,9.292226433753967,64.92048828125,Full,3.17729110607052,BIH,Bosnia and Herzegovina
59023.0,6246.269,17167.967,5.797037780284881,46.719503788420404,None,2.80366823339873,BLR,Belarus
23.0,57.843999999999994,7824.361999999999,5.802941843867301,16.7939938623411,Full,4.43403657873265,BLZ,Belize
25493.0,2183.923,6885.829000000002,6.322618722915652,10.4801458506416,Full,8.68694235813675,BOL,Bolivia
1106470.0,5205.462,14103.452,8.783406764268875,25.061716243087602,None,8.62714428399348,BRA,Brazil
97.0,337.543,16978.068,7.060834467411044,666.606976744186,Full,0.6500511028584549,BRB,Barbados
141.0,322.298,71809.25099999999,2.224253155291082,81.39696394686909,None,10.2962198251364,BRN,Brunei
69.0,89.42299999999999,8708.597,3.4846045076847063,19.7775277714448,Full,6.2653099337660185,BTN,Bhutan
89.0,37.846,15807.374,5.8487419039010975,3.9774248760432704,Full,3.681548740744,BWA,Botswana
2963.0,613.488,661.24,5.221772640943526,7.490412212270058,None,1.3462622386748377,CAF,Central African Republic
101637.0,2692.93,44017.59099999999,10.420859754085539,4.07518823864492,Full,5.748451006283998,CAN,Canada
31310.0,3617.722,57410.166,11.852029412984841,215.437463043118,Full,5.436047516233129,CHE,Switzerland
246963.0,12919.036,22767.037,8.211135417222978,25.189446066651893,Full,3.62835496442146,CHL,Chile
84624.0,58.794,15308.712,4.901009276509286,148.348833270666,Full,10.8847797754834,CHN,China
7492.0,284.022,3601.006,4.741506129503252,78.8340534591195,Full,0.1795858109722951,CIV,Cote d'Ivoire
11892.0,447.97900000000004,3364.926,4.617345705628396,53.3439889149796,None,10.863748398997,CMR,Cameroon
5925.0,66.156,808.133,3.870529532432556,37.0825923557045,Full,0.646996731516002,COD,Democratic Republic of Congo
1087.0,196.988,4881.406,2.9656932130455966,15.3568462664715,None,0.4073529775652965,COG,Congo
71183.0,1398.9579999999999,13254.948999999999,7.229332476854322,44.7487021180712,Full,8.92578599998057,COL,Colombia
944.0,1697.878,6222.554,5.08890338242054,134.92977667493798,None,7.256545194715461,CPV,Cape Verde
2277.0,446.986,15524.995,7.6870398223400125,97.91306306306309,Full,5.8792643364262105,CRI,Costa Rica
988.0,1127.984,32415.132,6.7926254868507385,128.708333333333,Full,8.61809977457805,CYP,Cyprus
10561.0,986.182,32605.90600000001,7.416695058345796,137.657705257705,Full,3.44128525812406,CZE,Czech Republic
190862.0,2278.026,45229.245,11.071575433015823,237.30759674834,Full,6.38584147088565,DEU,Germany
4599.0,4654.849,2705.406,3.9383959025144577,41.368421052631604,None,0.5323502546798771,DJI,Djibouti
18.0,250.03099999999998,9673.367,5.451088473200798,95.5,None,6.95363495546831,DMA,Dominica
12527.0,2162.735,46682.515,10.171633064746858,137.976565849012,Full,5.9414777290166,DNK,Denmark
27370.0,2523.0679999999998,14600.861,5.9653552621603,219.97857586421,Full,4.05381363470776,DOM,Dominican Republic
50640.0,2870.25,10581.936000000003,8.46459120512009,68.7886817522951,Partial,3.9674322770849297,ECU,Ecuador
56809.0,555.131,10550.206,5.0666306912899035,98.8734692852479,Full,3.79545671908511,EGY,Egypt
246504.0,5272.273,34272.36,8.999511450529097,93.6747673244434,Full,5.798681209314902,ESP,Spain
1981.0,1493.36,29481.252,6.28912940621376,30.41124913733611,Full,7.59774586816587,EST,Estonia
4663.0,40.561,1729.9270000000001,3.8814739882946014,109.22455900000001,Full,3.0744322898584,ETH,Ethiopia
7144.0,1289.364,40585.721,9.301035404205322,18.1485472672831,Full,6.65791433871501,FIN,Finland
18.0,20.079,8702.975,3.5440714657306662,48.3570333880679,Full,5.16959434299447,FJI,Fiji
160750.0,2462.714,38605.671,11.4515496790409,122.31988259783701,Full,6.18840249891611,FRA,France
4739.0,2129.1910000000007,16562.413,2.7839146926999083,8.224764233321691,None,0.46849588799665715,GAB,Gabon
305289.0,4497.083,39753.244,9.708006083965305,274.70898193692403,Full,7.52607101184695,GBR,United Kingdom
911.0,228.368,9745.079,8.157981485128401,65.2752020714511,Partial,8.91481277731131,GEO,Georgia
14154.0,455.509,4227.63,4.013823196291924,130.821429199262,Full,5.723535956998591,GHA,Ghana
