iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
ABW,North America,Aruba,2020-06-23,101.0,3.0,945.994,35973.781,,11.62,,,,,,588.027777777778,105845.0,180.0,,15.952799872418199,79.60967013355929,2189385474.8603396,,,2.89,,
AFG,Asia,Afghanistan,2020-06-23,29143.0,598.0,748.632,1803.987,597.029,9.59,2.78,32.3,10.235867053270347,-1.35017833585495,20316592975.0527,56.937760009803,37172386.0,652860.0,27.7,2.8307157244166805,3.10661959202303,7233182126.38915,24/03/2020,Full,8.04,,14.011595087051381
AGO,Africa,Angola,2020-06-23,183.0,9.0,5.568,5819.495,276.045,3.94,2.15,25.2,2.655480094254014,-5.28777959390334,103839890559.318,24.713052057431607,30809762.0,1246700.0,30.5,2.94352197094216,1.3457717330498,25887360494.1475,24/03/2020,Full,4.82,,29.691163864135735
AIA,North America,Anguilla,2020-06-23,3.0,0.0,199.973,,,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2020-06-23,1995.0,44.0,693.238,11803.431,304.195,10.08,12.16,52.9,,4.4025148702460495,13933199599.7948,104.61226277372299,2866376.0,28750.0,27.9,25.5314674703334,48.1951679829468,6908299985.070661,08/03/2020,Full,3.3,29.3705,43.92888944625854
AND,Europe,Andorra,2020-06-23,855.0,52.0,11065.812,,109.135,7.97,33.33,30.5,10.2571928501129,1.6227466770119,,163.842553191489,77006.0,470.0,32.1,,,,16/03/2020,Full,,33.444,
ARE,Asia,United Arab Emirates,2020-06-23,45303.0,303.0,4580.502,67293.483,317.84,17.26,25.28,46.7,3.50889950990677,0.20793637115994604,393687216384.538,135.609110109828,9630959.0,83600.0,22.5,,,288397549353.302,24/03/2020,Full,,19.481,96.11809417724614
ARG,South America,Argentina,2020-06-23,44918.0,1043.0,993.854,18933.907,191.032,5.5,39.9,58.6,8.41735973954201,-3.46737624314432,551170581779.708,16.2585100979651,44494502.0,2780400.0,38.9,15.093929189435999,7.810454221768791,67914684752.606,20/03/2020,Full,3.26,22.0075,74.83730895996095
ARM,Asia,Armenia,2020-06-23,20588.0,360.0,6947.814,8787.58,341.01,7.11,44.02,50.2,10.186804085969909,4.95169918007964,12474731643.2005,103.68022479803301,2951776.0,29740.0,18.1,21.933781319288997,26.317195576268606,7234272552.6808405,24/03/2020,Full,3.54,27.053,59.95963012695316
ATG,North America,Antigua and Barbuda,2020-06-23,26.0,3.0,265.501,21490.943,191.511,13.17,29.56,29.0,4.85242560505867,6.430026467107201,1530376688.8429198,218.83181818181802,96286.0,440.0,11.1,10.134036918054,84.3106823458553,686701666.666667,,None,,,
AUS,Oceania,Australia,2020-06-23,7474.0,102.0,293.099,44648.71,107.791,5.07,36.78,75.5,9.102673083543776,1.3711444953559595,1330436971362.72,3.24787091037205,24982688.0,7741220.0,28.7,13.6525023236232,14.4597046066668,300194535831.784,24/03/2020,Full,2.5,14.767499999999998,83.79563652038573
AUT,Europe,Austria,2020-06-23,17320.0,690.0,1923.077,45436.686,145.183,6.35,51.7,58.5,10.367483645677561,1.92211865205813,436266719832.367,107.127966860564,8840521.0,83879.00390625,34.4,6.0114230086145914,10.0119483521856,232097459615.294,16/03/2020,Full,2.27,29.6625,88.1387781906128
AZE,Asia,Azerbaijan,2020-06-23,13207.0,161.0,1302.571,15847.419,559.812,7.11,34.46,34.2,6.110159382224082,0.5378178996669191,40259865257.7429,120.234667956937,9939800.0,86600.0,16.8,13.8546875412132,11.104800950759303,17712411764.7059,02/03/2020,Full,4.55,21.610999999999997,31.69112909317017
BDI,Africa,Burundi,2020-06-23,144.0,1.0,12.11,702.225,293.068,6.05,1.0,22.8,7.324026525020602,-1.55740735383216,3136470012.17088,435.17827102803705,11175378.0,27830.0,36.4,2.54060975902162,1.3679147957593605,985821794.293151,,,4.83,,5.468555015325542
BEL,Europe,Belgium,2020-06-23,60550.0,9696.0,5224.504,42658.576,114.898,4.29,30.71,61.0,10.34148216247558,0.9428452679370452,524407874219.178,377.58441215323603,11433256.0,30530.0,38.0,4.637166279472161,2.31501757164638,431968942359.215,17/03/2020,Full,2.32,28.2815,86.1630702209473
BEN,Africa,Benin,2020-06-23,807.0,13.0,66.567,2064.236,235.848,0.99,0.79,28.8,3.8236450403928735,3.818777310836,13735899664.4805,101.853919829727,11485048.0,114760.0,7.2,,,4900152309.4410715,,None,5.19,6.5085,10.765610353946686
