country,score,electoral_process_and_pluralism,functioning_of_government,political_participation,political_culture,civil_liberties,regime_type
Norway,9.87,10.00,9.64,10.00,10.00,9.71,Full democracy
Iceland,9.58,10.00,9.29,8.89,10.00,9.71,Full democracy
Sweden,9.39,9.58,9.64,8.33,10.00,9.41,Full democracy
New Zealand,9.26,10.00,9.29,8.89,8.13,10.00,Full democracy
Finland,9.25,10.00,8.93,8.89,8.75,9.71,Full democracy
Ireland,9.24,10.00,7.86,8.33,10.00,10.00,Full democracy
Denmark,9.22,10.00,9.29,8.33,9.38,9.12,Full democracy
Canada,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy
Australia,9.09,10.00,8.93,7.78,8.75,10.00,Full democracy
Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy
Netherlands,9.01,9.58,9.29,8.33,8.75,9.12,Full democracy
Luxembourg,8.81,10.00,8.93,6.67,8.75,9.71,Full democracy
Germany,8.68,9.58,8.57,8.33,7.50,9.41,Full democracy
United Kingdom,8.52,9.58,7.50,8.89,7.50,9.12,Full democracy
Uruguay,8.38,10.00,8.57,6.11,7.50,9.71,Full democracy
Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy
Spain,8.29,9.58,7.14,7.78,8.13,8.82,Full democracy
Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy
Costa Rica,8.13,9.58,7.50,6.67,7.50,9.41,Full democracy
France,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy
Chile,8.08,9.58,8.57,5.00,8.13,9.12,Full democracy
Portugal,8.03,9.58,7.86,6.11,7.50,9.12,Full democracy
South Korea,8.00,9.17,7.86,7.22,7.50,8.24,Flawed democracy
Japan,7.99,8.75,8.21,6.67,7.50,8.82,Flawed democracy
United States,7.96,9.17,7.14,7.78,7.50,8.24,Flawed democracy
Malta,7.95,9.17,7.50,6.11,8.13,8.82,Flawed democracy
Estonia,7.90,9.58,7.86,6.67,6.88,8.53,Flawed democracy
Israel,7.86,9.17,7.86,8.89,7.50,5.88,Flawed democracy
Botswana,7.81,9.17,7.14,6.11,7.50,9.12,Flawed democracy
Cape Verde,7.78,9.17,7.36,6.67,6.88,8.82,Flawed democracy
Taiwan,7.73,9.58,8.21,6.11,5.63,9.12,Flawed democracy
Czech Republic,7.69,9.58,6.79,6.67,6.88,8.53,Flawed democracy
Belgium,7.64,9.58,8.21,5.00,6.88,8.53,Flawed democracy
Cyprus,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy
Italy,7.52,9.58,6.07,7.78,6.25,7.94,Flawed democracy
Slovenia,7.50,9.58,6.79,6.67,6.25,8.24,Flawed democracy
Lithuania,7.50,9.58,6.43,6.11,6.25,9.12,Flawed democracy
Latvia,7.49,9.58,6.07,6.11,6.88,8.82,Flawed democracy
Greece,7.43,9.58,4.86,6.67,7.50,8.53,Flawed democracy
South Africa,7.24,7.42,7.50,8.33,5.00,7.94,Flawed democracy
Timor-Leste,7.19,9.58,6.29,5.56,6.88,7.65,Flawed democracy
Slovakia,7.17,9.58,7.14,5.56,5.63,7.94,Flawed democracy
Malaysia,7.16,9.17,7.86,6.67,6.25,5.88,Flawed democracy
Trinidad and Tobago,7.16,9.58,7.14,6.11,5.63,7.35,Flawed democracy
Colombia,7.13,9.17,6.79,5.56,5.63,8.53,Flawed democracy
Panama,7.05,9.58,6.07,6.67,5.00,7.94,Flawed democracy
Bulgaria,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy
